profile,early_levels,early_avg_min,early_max_min,segment,late_avg_min,late_max_min,first_over_late_stage,stall_max_min
casual,292,2.4653389106980876,8.771053619286707,101 ~ 500,0.7815182211581507,3.9651111111111192,22120,63.626842465600866
casual,292,2.4653389106980876,8.771053619286707,501 ~ 1000,3.254456003176668,5.625029629629638,22120,63.626842465600866
casual,292,2.4653389106980876,8.771053619286707,1001 ~ 20000,3.304984998186503,5.588944444444725,22120,63.626842465600866
casual,292,2.4653389106980876,8.771053619286707,20001 ~ 21230,3.3051080416442247,5.588944444444725,22120,63.626842465600866
normal,1030,0.6990258341220368,3.6496079312066803,101 ~ 500,0.8291992884024705,2.3650333333333333,22245,21.987631362801547
normal,1030,0.6990258341220368,3.6496079312066803,501 ~ 1000,2.3360679625948015,3.1975888888888884,22245,21.987631362801547
normal,1030,0.6990258341220368,3.6496079312066803,1001 ~ 20000,2.3567449286595044,2.6703037037038095,22245,21.987631362801547
normal,1030,0.6990258341220368,3.6496079312066803,20001 ~ 21230,2.356743062308632,2.670303703703567,22245,21.987631362801547
top,2096,0.3433292139502363,2.031168916773065,1001 ~ 20000,0.609293065355456,0.9691911111111218,22275,10.576084574986393
top,2096,0.3433292139502363,2.031168916773065,20001 ~ 21230,0.6092891111111042,0.9691911111110915,22275,10.576084574986393
