a,none,average,top
0,0.12016628749570975,0.09630138856862241,0.0758841862975504
0.5,0.12016628749570975,0.1093122665761686,0.10191026080707637
0.75,0.12016628749570975,0.11567821794545494,0.11438119820517327
1,0.12016628749570975,0.1219538172265149,0.12651053446984653
