profile,early_levels,early_avg_min,early_max_min,segment,late_avg_min,late_max_min,first_over_late_stage,stall_max_min
casual,291,2.4732276310156127,8.771053619286707,101 ~ 500,0.832345602220927,4.939411111111119,20775,63.631491107254824
casual,291,2.4732276310156127,8.771053619286707,501 ~ 1000,3.267970384866276,5.588944444444422,20775,63.631491107254824
casual,291,2.4732276310156127,8.771053619286707,1001 ~ 20000,3.304984998186503,5.588944444444725,20775,63.631491107254824
casual,291,2.4732276310156127,8.771053619286707,20001 ~ 21230,395.5329938619724,5744.473745870647,20775,63.631491107254824
normal,1015,0.7093367846171009,3.6496079312066803,101 ~ 500,0.7959211903216412,2.3372814814814813,20870,21.987631362801547
normal,1015,0.7093367846171009,3.6496079312066803,501 ~ 1000,2.336067962594801,3.1975888888888884,20870,21.987631362801547
normal,1015,0.7093367846171009,3.6496079312066803,1001 ~ 20000,2.3567449286595044,2.6703037037038095,20870,21.987631362801547
normal,1015,0.7093367846171009,3.6496079312066803,20001 ~ 21230,163.0990650598422,2392.809302457487,20870,21.987631362801547
top,2094,0.3437953550671481,2.0389302214609955,1001 ~ 20000,0.6092907006505724,0.9691911111111521,20905,10.581057550225584
top,2094,0.3437953550671481,2.0389302214609955,20001 ~ 21230,83.76814926892249,991.2134731326286,20905,10.581057550225584
