label,player_level,delta,stage_a,stage_b,freeze,multiplier,p_a,p_b,value_a,value_b,kill_a,kill_b,ratio,gold_ratio,exp_ratio
grid,10,1,21,22,on,2,0.001,0.0005,0.09510086455331414,0.09769452449567723,48.0852164400015,2.654534012684414,0.609460997283781,3.2815881720298954,1.1458474441835544,1.1458474441835547
grid,10,1,21,22,on,5,0.001,0.0002,0.09510086455331414,0.09769452449567723,48.0852164400015,2.654534012684414,1.5236524932094526,3.2815881720298954,1.1458474441835544,1.1458474441835547
grid,10,1,21,22,on,10,0.001,0.0001,0.09510086455331414,0.09769452449567723,48.0852164400015,2.654534012684414,3.0473049864189052,3.2815881720298954,1.1458474441835544,1.1458474441835547
grid,10,1,21,22,off,2,0.001,0.0005,0.09510086455331414,0.09769452449567723,48.0852164400015,2.654534012684414,0.609460997283781,3.2815881720298954,1.1458474441835544,1.1458474441835547
grid,10,1,21,22,off,5,0.001,0.0002,0.09510086455331414,0.09769452449567723,48.0852164400015,2.654534012684414,1.5236524932094526,3.2815881720298954,1.1458474441835544,1.1458474441835547
grid,10,1,21,22,off,10,0.001,0.0001,0.09510086455331414,0.09769452449567723,48.0852164400015,2.654534012684414,3.0473049864189052,3.2815881720298954,1.1458474441835544,1.1458474441835547
grid,10,5,17,22,on,2,0.001,0.0005,0.08472622478386167,0.09769452449567723,26.95312428551168,2.654534012684414,0.9534538206534905,2.097636987420339,1.1298734556974879,1.12881054557924
grid,10,5,17,22,on,5,0.001,0.0002,0.08472622478386167,0.09769452449567723,26.95312428551168,2.654534012684414,2.383634551633726,2.097636987420339,1.1298734556974879,1.12881054557924
grid,10,5,17,22,on,10,0.001,0.0001,0.08472622478386167,0.09769452449567723,26.95312428551168,2.654534012684414,4.767269103267452,2.097636987420339,1.1298734556974879,1.12881054557924
grid,10,5,17,22,off,2,0.001,0.0005,0.08472622478386167,0.09769452449567723,26.95312428551168,2.654534012684414,0.9534538206534905,2.097636987420339,1.1298734556974879,1.12881054557924
grid,10,5,17,22,off,5,0.001,0.0002,0.08472622478386167,0.09769452449567723,26.95312428551168,2.654534012684414,2.383634551633726,2.097636987420339,1.1298734556974879,1.12881054557924
grid,10,5,17,22,off,10,0.001,0.0001,0.08472622478386167,0.09769452449567723,26.95312428551168,2.654534012684414,4.767269103267452,2.097636987420339,1.1298734556974879,1.12881054557924
grid,10,10,12,22,on,2,0.001,0.0005,0.0717579250720461,0.09769452449567723,13.452679428446178,2.654534012684414,1.5618296588698073,1.2805493791475746,1.0628428861776733,1.060787097229554
grid,10,10,12,22,on,5,0.001,0.0002,0.0717579250720461,0.09769452449567723,13.452679428446178,2.654534012684414,3.904574147174518,1.2805493791475746,1.0628428861776733,1.060787097229554
grid,10,10,12,22,on,10,0.001,0.0001,0.0717579250720461,0.09769452449567723,13.452679428446178,2.654534012684414,7.809148294349036,1.2805493791475746,1.0628428861776733,1.060787097229554
grid,10,10,12,22,off,2,0.001,0.0005,0.0717579250720461,0.09769452449567723,13.452679428446178,2.654534012684414,1.5618296588698073,1.2805493791475746,1.0628428861776733,1.060787097229554
grid,10,10,12,22,off,5,0.001,0.0002,0.0717579250720461,0.09769452449567723,13.452679428446178,2.654534012684414,3.904574147174518,1.2805493791475746,1.0628428861776733,1.060787097229554
grid,10,10,12,22,off,10,0.001,0.0001,0.0717579250720461,0.09769452449567723,13.452679428446178,2.654534012684414,7.809148294349036,1.2805493791475746,1.0628428861776733,1.060787097229554
grid,10,21,1,22,on,2,0.001,0.0005,0.043227665706051875,0.09769452449567723,2.212440034557013,2.654534012684414,4.232908862479618,0.47248832067421587,0.9803874257356,0.9711384877569623
grid,10,21,1,22,on,5,0.001,0.0002,0.043227665706051875,0.09769452449567723,2.212440034557013,2.654534012684414,10.582272156199044,0.47248832067421587,0.9803874257356,0.9711384877569623
grid,10,21,1,22,on,10,0.001,0.0001,0.043227665706051875,0.09769452449567723,2.212440034557013,2.654534012684414,21.16454431239809,0.47248832067421587,0.9803874257356,0.9711384877569623
grid,10,21,1,22,off,2,0.001,0.0005,0.043227665706051875,0.09769452449567723,2.212440034557013,2.654534012684414,4.232908862479618,0.47248832067421587,0.9803874257356,0.9711384877569623
grid,10,21,1,22,off,5,0.001,0.0002,0.043227665706051875,0.09769452449567723,2.212440034557013,2.654534012684414,10.582272156199044,0.47248832067421587,0.9803874257356,0.9711384877569623
grid,10,21,1,22,off,10,0.001,0.0001,0.043227665706051875,0.09769452449567723,2.212440034557013,2.654534012684414,21.16454431239809,0.47248832067421587,0.9803874257356,0.9711384877569623
grid,150,1,147,148,on,2,0.001,0.0005,0.3648414985590778,0.3648414985590778,49.5927699491704,2.85632434603905,0.6409667113946292,3.1202868486701227,1.1666588447884676,1.1666588447804438
grid,150,1,147,148,on,5,0.001,0.0002,0.3648414985590778,0.3648414985590778,49.5927699491704,2.85632434603905,1.6024167784865733,3.1202868486701227,1.1666588447884676,1.1666588447804438
