profile,segment,per_hour
casual,all,0.21536927015363724
casual,1 ~ 100,0.4981577430720115
casual,101 ~ 500,0.49745341202063725
casual,501 ~ 1000,0.49900980927541144
casual,1001 ~ 20000,0.49900980927542027
casual,20001 ~ 21230,0.19996849923284235
normal,all,0.8085818642286926
normal,1 ~ 100,1.8025366117882191
normal,101 ~ 500,1.8131059515302146
normal,501 ~ 1000,1.8156583687294992
normal,1001 ~ 20000,1.8156583687294987
normal,20001 ~ 21230,0.774125530191053
top,all,0.7763901984011475
top,1 ~ 100,1.890617553325764
top,101 ~ 500,2.003506455608891
top,501 ~ 1000,1.9891765436175537
top,1001 ~ 20000,1.9891765436172835
top,20001 ~ 21230,0.775482396197726
