segment,profile,20,25,29
1 ~ 100,casual,79.75044781531648,94.90522184206965,108.85972609154749
1 ~ 100,normal,23.105868815971657,27.495668380735687,31.539458348756217
1 ~ 100,top,11.15738016371739,13.277588635816294,15.22987496363967
101 ~ 500,casual,94.48341017469473,112.43540299886998,128.97036200689965
101 ~ 500,normal,26.367178192665232,31.37672587892237,35.990761889134916
101 ~ 500,top,12.6469186421324,15.049729498836085,17.26283465580961
501 ~ 1000,casual,94.56601351833073,112.53448401133478,129.08305490677222
501 ~ 1000,normal,27.199438588313544,32.36735196241762,37.12690297469362
501 ~ 1000,top,12.60098202296817,14.995177892559461,17.20018725510044
1001 ~ 2000,casual,118.90303358873966,141.4941132485949,162.30269377802364
1001 ~ 2000,normal,33.71634476177071,40.12256514332065,46.02286803822378
1001 ~ 2000,top,15.64182251061547,18.613822081746584,21.351114374047203
2001 ~ 10000,casual,670.3323713056179,797.6955204912701,915.0036855845635
2001 ~ 10000,normal,190.96966232078498,227.25389777359837,260.6735887124438
2001 ~ 10000,top,92.27938494805252,109.81246790062951,125.96136028234373
10001 ~ 17000,casual,1263.9946339415978,1504.153614391109,1725.3526753334638
10001 ~ 17000,normal,344.0578987278926,409.4288994863576,469.6390317644398
10001 ~ 17000,top,160.3726547875255,190.84345919723245,218.90867378537615
17001 ~ 25300,casual,983.6524678615789,1170.5464367552836,1342.68561863106
17001 ~ 25300,normal,414.7066029786248,493.5008575445636,566.074513065823
17001 ~ 25300,top,165.0849891286111,196.45113706304724,225.34101016055425
