profile,segment,power,vs_501_1000
casual,1 ~ 100,0.013026311176107322,0.9767199655589285
casual,101 ~ 500,0.012704327582946708,0.9525774589221145
casual,501 ~ 1000,0.013336792156852255,1
casual,1001 ~ 2000,0.01323188248962355,0.9921338155386336
casual,2001 ~ 10000,0.005490503902893844,0.411680997823221
casual,10001 ~ 17000,0.005411423562646912,0.405751510483471
casual,17001 ~ 25300,0.0054170302731493414,0.40617190471594383
normal,1 ~ 100,0.04478963161948735,0.9621454432847795
normal,101 ~ 500,0.045556681917959266,0.9786227824090399
normal,501 ~ 1000,0.04655183052842286,1
normal,1001 ~ 2000,0.04665897152044158,1.0023015419759551
normal,2001 ~ 10000,0.021626251370379372,0.4645628566029249
normal,10001 ~ 17000,0.019907654791028056,0.4276449403825949
normal,17001 ~ 25300,0.01992772545184825,0.4280760869259717
top,1 ~ 100,0.09190367870872512,0.915444516965895
top,101 ~ 500,0.09461593003630485,0.9424610155582479
top,501 ~ 1000,0.10039240719178288,1
top,1001 ~ 2000,0.10048269212255465,1.0008993203101435
top,2001 ~ 10000,0.05125008576524984,0.5104976282453825
top,10001 ~ 17000,0.042914346611348964,0.42746605855728004
top,17001 ~ 25300,0.0430550460630284,0.4288675535070989
