profile,segment,per_hour
casual,all,0.20350480248123515
casual,1 ~ 100,0.49853572154028697
casual,101 ~ 500,0.48550545474053897
casual,501 ~ 1000,0.4990098092754115
casual,1001 ~ 2000,0.49082556886803086
casual,2001 ~ 10000,0.20493451897220258
casual,10001 ~ 17000,0.20135034921809683
casual,17001 ~ 25300,0.20137931968042064
normal,all,0.48655413331447267
normal,1 ~ 100,1.1220882608668952
normal,101 ~ 500,1.1121541060285887
normal,501 ~ 1000,1.1271607153072711
normal,1001 ~ 2000,1.1246895608264387
normal,2001 ~ 10000,0.5215067707340253
normal,10001 ~ 17000,0.4761366923970733
normal,17001 ~ 25300,0.47799012530688473
top,all,0.8434047356003698
top,1 ~ 100,1.9364948427063338
top,101 ~ 500,1.8964768891247383
top,501 ~ 1000,1.9891765436175535
top,1001 ~ 2000,1.9849589288319458
top,2001 ~ 10000,0.9847057324640571
top,10001 ~ 17000,0.8240303486426004
top,17001 ~ 25300,0.8252448970224189
