profile,segment,power,vs_501_1000
casual,1 ~ 100,0.012874921086812744,0.9663574644525399
casual,101 ~ 500,0.012772384994059454,0.9586613770016095
casual,501 ~ 1000,0.013323145482305178,1
casual,1001 ~ 2000,0.013224656816794536,0.992607701714175
casual,2001 ~ 10000,0.007225373455751141,0.5423173878381311
casual,10001 ~ 17000,0.0072152314179972366,0.5415561533558255
casual,17001 ~ 25300,0.00722270703086694,0.5421172530510613
normal,1 ~ 100,0.04460256303026157,0.9581301513488546
normal,101 ~ 500,0.04555674430189219,0.9786274004773723
normal,501 ~ 1000,0.046551674600230596,1
normal,1001 ~ 2000,0.04665897152044158,1.0023048992572752
normal,2001 ~ 10000,0.027894057183282372,0.5992063104673833
normal,10001 ~ 17000,0.026543539725519278,0.5701951638360137
normal,17001 ~ 25300,0.026570300602467796,0.5707700277303489
top,1 ~ 100,0.09233875724445699,0.919760169244525
top,101 ~ 500,0.09461957734580444,0.9424787713248834
top,501 ~ 1000,0.10039438576721847,1
top,1001 ~ 2000,0.10048269212255465,1.0008795945576172
top,2001 ~ 10000,0.06577884383044638,0.655204405383443
top,10001 ~ 17000,0.05721912882428635,0.5699435121497598
top,17001 ~ 25300,0.057406728084043804,0.5718121351641227
