profile,early_levels,early_avg_min,early_max_min,segment,late_avg_min,late_max_min,first_over_late_stage,stall_max_min
casual,235,3.019839665350426,13.981060066954466,101 ~ 500,1.6133672240381927,15.597291418253342,350,64.75632496058975
casual,235,3.019839665350426,13.981060066954466,501 ~ 1000,3.200679349904399,5.805455555555534,350,64.75632496058975
casual,235,3.019839665350426,13.981060066954466,1001 ~ 2000,3.3321732189878417,6.310555377550451,350,64.75632496058975
casual,235,3.019839665350426,13.981060066954466,2001 ~ 10000,24.936942989849587,72.59843409758072,350,64.75632496058975
casual,235,3.019839665350426,13.981060066954466,10001 ~ 17000,71.00362941718589,76.91747723325871,350,64.75632496058975
casual,235,3.019839665350426,13.981060066954466,17001 ~ 25300,84.5624217225134,100.19396948133857,350,64.75632496058975
normal,367,1.9528069251441609,10.384533420307658,101 ~ 500,0.7075098413655433,9.314930800359546,8805,27.32881041415264
normal,367,1.9528069251441609,10.384533420307658,501 ~ 1000,2.3100029178490873,3.1975888888888884,8805,27.32881041415264
normal,367,1.9528069251441609,10.384533420307658,1001 ~ 2000,2.361428308466009,3.126391565175511,8805,27.32881041415264
normal,367,1.9528069251441609,10.384533420307658,2001 ~ 10000,7.3228540454304385,19.97331834558231,8805,27.32881041415264
normal,367,1.9528069251441609,10.384533420307658,10001 ~ 17000,19.872550404745784,21.43011563796839,8805,27.32881041415264
normal,367,1.9528069251441609,10.384533420307658,17001 ~ 25300,19.447549521333507,25.88232156209888,8805,27.32881041415264
top,1491,0.48266003474427227,3.49726779843638,1001 ~ 2000,0.6106499248585987,0.975154910027234,34015,10.145448925114852
top,1491,0.48266003474427227,3.49726779843638,2001 ~ 10000,2.3949120819805634,6.447678032265874,34015,10.145448925114852
top,1491,0.48266003474427227,3.49726779843638,10001 ~ 17000,6.248629192709316,6.970089719127616,34015,10.145448925114852
top,1491,0.48266003474427227,3.49726779843638,17001 ~ 25300,7.918765683575997,9.772885717414226,34015,10.145448925114852
