profile,stage10_h,stage20_h,r1,r2,r3,r4,r5,levels_to_r5,avg_min_to_r5,levels_12h,avg_min_12h
casual,0.014099664902998237,1.0382227460672449,2.4462427204457997,5.051817321115343,8.952335648603542,14.41838792511493,21.039651786097856,370,3.4118354247726255,233,3.057518578679972
normal,0.00890808201058201,0.35764525289114424,0.8313255275450699,2.0940615835559235,4.241142916537757,7.79587881176969,12.366473227757314,370,2.0053740369336177,367,1.9470450726172794
top,0.0036461611237087427,0.011271060846560847,0.37283177871381584,0.8012637666002593,1.4504996779748502,2.430830553979104,3.7080748468468276,370,0.60130943462381,1486,0.4842245287064401
