profile,early_levels,early_avg_min,early_max_min,segment,late_avg_min,late_max_min,first_over_late_stage,stall_max_min
casual,291,2.472991922946695,8.771053619286707,101 ~ 500,0.7786978592025129,3.929025925925934,22120,63.631491107254824
casual,291,2.472991922946695,8.771053619286707,501 ~ 1000,3.254653408272088,5.625029629629638,22120,63.631491107254824
casual,291,2.472991922946695,8.771053619286707,1001 ~ 20000,3.304984998186503,5.588944444444725,22120,63.631491107254824
casual,291,2.472991922946695,8.771053619286707,20001 ~ 21230,3.3051080416442247,5.588944444444725,22120,63.631491107254824
normal,1028,0.7003662610534768,3.6496079312066803,101 ~ 500,0.8246492482694218,2.3650333333333333,22255,21.987631362801547
normal,1028,0.7003662610534768,3.6496079312066803,501 ~ 1000,2.3360679625948015,3.1975888888888884,22255,21.987631362801547
normal,1028,0.7003662610534768,3.6496079312066803,1001 ~ 20000,2.3567449286595044,2.6703037037038095,22255,21.987631362801547
normal,1028,0.7003662610534768,3.6496079312066803,20001 ~ 21230,2.356743062308632,2.670303703703567,22255,21.987631362801547
top,2096,0.3433255735698885,2.0389302214609955,1001 ~ 20000,0.609293065355456,0.9691911111111218,22295,10.569154834574844
top,2096,0.3433255735698885,2.0389302214609955,20001 ~ 21230,0.6092891111111042,0.9691911111110915,22295,10.569154834574844
